,Year,Inflation rate compared to previous year
0,2025*,3.1%
1,2024*,3.1%
2,2023*,3.1%
3,2022*,3.3%
4,2021*,4.9%
5,2020*,6.5%
6,2019,3.32%
7,2018,2.04%
8,2017,0.66%
9,2016,1.76%
10,2015,1.28%
11,2014,4.13%
12,2013,6.37%
13,2012,4.26%
14,2011,7.58%
15,2010,5.98%
16,2009,0.03%
17,2008,7.63%
18,2007,4.76%
19,2006,6.55%
20,2005,7.17%
21,2004,10.47%
22,2003,15.49%
23,2002,10.63%
24,2001,7.81%
25,2000,8.37%
26,1999,128.41%
27,1998,90.14%
28,1997,19.54%
29,1996,19.15%
30,1995,19.08%
31,1994,7.67%
32,1993,5.65%
33,1992,9.85%
34,1991,13.44%
35,1990,-26.32%
36,1989,59.7%
37,1988,14.8%
38,1987,6.11%
39,1986,35%
40,1985,114.7%
