,Country,Number of inhabitants in millions
0,Brazil,211.05
1,Mexico,127.58
2,Colombia,50.34
3,Argentina,44.9
4,Peru,32.51
5,Venezuela,28.52
6,Chile,18.95
7,Guatemala,17.58
8,Ecuador,17.37
9,Bolivia,11.51
10,Cuba,11.33
11,Haiti,11.26
12,Dominican Republic,10.74
13,Honduras,9.75
14,Paraguay,7.05
15,Nicaragua,6.55
16,El Salvador,6.45
17,Costa Rica,5.05
18,Panama,4.25
19,Uruguay,3.46
20,Puerto Rico,3.19
21,Jamaica,2.95
22,Trinidad and Tobago,1.4
23,Guyana,0.78
24,Suriname,0.58
25,Belize,0.39
26,Bahamas,0.39
27,Barbados,0.29
28,Saint Lucia,0.18
29,Grenada,0.11
30,Saint Vincentand the Grenadines,0.11
31,Antigua and Barbuda,0.1
32,Dominica,0.07
33,Saint Kitts and Nevis,0.05
