,Year,Inflation rate compared to previous year
0,2025*,11%
1,2024*,11%
2,2023*,11%
3,2022*,11.37%
4,2021*,11.93%
5,2020*,11.94%
6,2019,15.18%
7,2018,16.33%
8,2017,11.14%
9,2016,7.78%
10,2015,7.67%
11,2014,8.86%
12,2013,7.49%
13,2012,8.89%
14,2011,6.47%
15,2010,8.57%
16,2009,6.25%
17,2008,10.44%
18,2007,8.76%
19,2006,9.6%
20,2005,8.18%
21,2004,8.6%
22,2003,25.34%
23,2002,45.13%
24,2001,54.25%
25,2000,55.04%
26,1999,64.87%
27,1998,84.72%
28,1997,85.65%
29,1996,80.24%
30,1995,89.57%
31,1994,104.54%
32,1993,66.1%
33,1992,70.07%
34,1991,65.97%
35,1990,60.32%
36,1989,63.27%
37,1988,73.67%
38,1987,38.85%
39,1986,34.62%
40,1985,44.51%
