,Institution,Number of students*
0,Total,1844600
1,Comprehensive schools**,541200
2,Adult education centres,465400
3,Vocational institutes,189100
4,Universities,158200
5,Universities of applied sciences,145500
6,Upper secondary general schools,109900
7,Music schools and colleges,62800
8,Comprehensive and upper secondary general level schools,28400
9,Study circle centres,28000
10,Specialised vocational institutes,25500
11,Summer universities,24900
12,Folk high schools,18600
13,Vocational adult education centres,18100
14,Sports institutes,18000
15,Special needs vocational institutes,5000
16,Comprehensive school level special education schools,4200
17,Military academies,1000
18,Other educational institutions,500
19,"Fire, police and security service institutes",300
