,Quarter,Viewers in thousands
0,Q1 2012,54022
1,Q2 2012,53215
2,Q3 2012,54241
3,Q4 2012,53829
4,Q1 2013,54185
5,Q2 2013,53466
6,Q3 2013,52786
7,Q4 2013,53680
8,Q1 2014,54370
9,Q2 2014,52720
10,Q3 2014,53084
11,Q4 2014,53693
12,Q1 2015,52950
13,Q2 2015,51285
14,Q3 2015,52122
15,Q4 2015,53807
16,Q1 2016,52573
17,Q2 2016,52535
18,Q3 2016,53487
19,Q4 2016,53419
20,Q1 2017,51949
21,Q2 2017,51605
22,Q3 2017,51263
23,Q4 2017,52659
24,Q1 2018,52127
25,Q2 2018,50373
26,Q3 2018,50535
27,Q4 2018,51879
28,Q1 2019,50899
29,Q2 2019,49947
30,Q3 2019,49645
