,Year,GDP per capita in U.S. dollars
0,2025,748.47
1,2024,718.44
2,2023,686.75
3,2022,628.74
4,2021,567.4
5,2020,535.83
6,2019,553.92
7,2018,572.69
8,2017,517.79
9,2016,497.97
10,2015,484.22
11,2014,428.44
12,2013,462.03
13,2012,431.37
14,2011,410.74
15,2010,378.21
16,2009,368.28
17,2008,382.36
18,2007,312.75
19,2006,275.51
20,2005,263.79
21,2004,237.22
22,2003,223.46
23,2002,180.83
24,2001,164.09
25,2000,159.23
26,1999,188.22
27,1998,200.63
28,1997,181.69
29,1996,204.03
30,1995,197.22
31,1994,181.67
32,1993,267.09
33,1992,291.83
34,1991,299.57
35,1990,329.65
36,1989,298.89
37,1988,322.59
38,1987,325.89
39,1986,286.75
40,1985,223.99
