,State,Registrations in units
0,California,842543
1,Florida,586267
2,Ohio,410187
3,New York,392178
4,Pennsylvania,377158
5,Texas,364690
6,Illinois,333943
7,Wisconsin,324670
8,Montana,306655
9,Michigan,258487
10,Indiana***,250579
11,Minnesota,241556
12,Washington,231401
13,Georgia,203922
14,Iowa,194603
15,Virginia,193951
16,Colorado,190002
17,North Carolina,188843
18,Massachusetts**,168931
19,Tennessee,165968
20,Arizona,164055
21,New Jersey,152979
22,Oregon,142738
23,Missouri,138294
24,Oklahoma,136190
25,Maryland,118277
26,South Carolina,118132
27,South Dakota,117461
28,Louisiana,113664
29,Alabama,112185
30,Kentucky,101163
31,Kansas,95892
32,Connecticut,90131
33,Arkansas,89457
34,Utah,83993
35,New Hampshire,78798
36,Nevada,76032
37,Idaho,63297
38,West Virginia,60582
39,New Mexico,57718
40,Nebraska,55736
41,North Dakota,51941
42,Maine,51467
43,Hawaii,35576
44,Alaska**,31859
45,Vermont,30955
46,Rhode Island,30914
47,Wyoming,28960
48,Mississippi,28124
49,Delaware,27810
50,Dist. of Col.,4290
