,Year,Fatal injuries to workers
0,2018/19,147
1,2017/18,141
2,2016/17,135
3,2015/16,147
4,2014/15,142
5,2013/14,136
6,2012/13,150
7,2011/12,171
8,2010/11,175
9,2009/10,147
10,2008/09,179
11,2007/08,233
12,2006/07,247
13,2005/06,217
14,2004/05,223
15,2003/04,236
16,2002/03,227
17,2001/02,251
18,2000/01,292
19,1999/00,220
20,1998/99,253
21,1997/98,274
22,1996/97,287
23,1995/96,258
24,1994/95,272
25,1993/94,296
26,1992/93,339
27,1991/92,368
28,1990/91,433
29,1989/90,475
30,1988/89,609
31,1987/88,445
32,1986/87,407
33,1985,471
34,1984,498
35,1983,513
36,1982,520
37,1981,495
38,1980,440
39,1979,492
40,1978,499
41,1977,524
42,1976,586
43,1975,620
44,1974,651
