,Country,CT scanners per million population
0,Japan**,111.49
1,Australia,70.25
2,Iceland,47.62
3,United States,44.94
4,Denmark,40.65
5,Greece*,40.62
6,Switzerland*,39.7
7,South Korea*,38.56
8,Latvia*,38.4
9,Germany*,35.13
10,Italy*,35.12
11,Austria*,28.84
12,Chile**,24.21
13,Belgium,23.74
14,Ireland,21.41
15,Spain**,19.12
16,Estonia,18.91
17,Slovakia*,18.36
18,Slovenia,18.26
19,France,18.24
20,Poland*,18.14
21,Finland*,16.5
22,Luxembourg,16.13
23,Czechia,16.09
24,New Zealand,15.44
25,Turkey*,14.88
26,Canada,14.82
27,Netherlands*,14.22
28,Russia*,13.37
29,Israel*,9.57
30,Hungary*,9.41
31,Mexico*,5.9
