,Baseball Player,Average player salary in million U.S. dollars
0,San Francisco Giants,7.38
1,Chicago Cubs,6.99
2,Boston Red Sox,6.45
3,Los Angeles Angels,6.34
4,Washington Nationals,6.01
5,Seattle Mariners,5.9
6,New York Yankees,5.76
7,New York Mets,5.76
8,Houston Astros,5.73
9,Toronto Blue Jays,5.66
10,Los Angeles Dodgers,5.43
11,St Louis Cardinals,5.25
12,Baltimore Orioles,5.11
13,Colorado Rockies,4.8
14,Cleveland Indians,4.56
15,Minnesota Twins,4.32
16,Arizona Diamondbacks,4.14
17,Detroit Tigers,4.12
18,Texas Rangers,4.03
19,Kansas City Royals,3.73
20,Milwaukee Brewers,3.24
21,Philadelphia Phillies,3.21
22,Chicago White Sox,3.19
23,Cincinnati Reds,3.18
24,Pittsburgh Pirates,2.92
25,Atlanta Braves,2.87
26,Miami Marlins,2.68
27,Tampa Bay Rays,2.58
28,San Diego Padres,2.38
29,Oakland Athletics,2.09
