,association football club,Number of titles
0,Sevilla FC,6
1,Atletico Madrid,3
2,FC Internazionale Milano,3
3,Liverpool FC,3
4,Juventus,3
5,VfL Borussia Mönchengladbach,2
6,Chelsea FC,2
7,IFK Göteborg,2
8,Feyenoord,2
9,Parma FC,2
10,Real Madrid CF,2
11,Tottenham Hotspur FC,2
12,FC Porto,2
13,Ipswich Town FC,1
14,FC Zenit,1
15,PSV Eindhoven,1
16,FC Bayern Munich,1
17,SSC Napoli,1
18,RSC Anderlecht,1
19,CSKA Moscow,1
20,Valencia CF,1
21,FC Schalke 04,1
22,Bayer 04 Leverkusen,1
23,Manchester United,1
24,AFC Ajax,1
25,FC Shakhtar Donetsk,1
26,Galatasaray AS,1
27,Eintracht Frankfurt,1
