,Industry,Real value added in billion chained (2012) U.S. dollars
0,Manufacturing,93.29
1,"Finance, insurance, real estate, rental, and leasing",51.25
2,"Educational services, health care, and social assistance",32.5
3,Government and government enterprises,30.78
4,Professional and business services,30.4
5,Retail trade,19.85
6,Wholesale trade,18.31
7,"Arts, entertainment, recreation, accommodation, and food services",11.65
8,Construction,11.37
9,Transportation and warehousing,11.14
10,Information,7.25
11,Other services (except government and government enterprises),7.02
12,Utilities,6.11
13,"Agriculture, forestry, fishing, and hunting",4.91
14,"Mining, quarrying, and oil and gas extraction",1.39
