,Metropolitan Area,Per capita Real GDP in chained (2009) U.S. dollars
0,"Midland, TX",197509
1,"San Jose-Sunnyvale-Santa Clara, CA",159570
2,"San Francisco-Oakland-Berkeley, CA",105127
3,"Seattle-Tacoma-Bellevue, WA",90284
4,"Wheeling, WV-OH",84952
5,"Boston-Cambridge-Newton, MA-NH",84682
6,"Durham-Chapel Hill, NC",84088
7,"Bridgeport-Stamford-Norwalk, CT",82591
8,"Odessa, TX",79228
9,"Lake Charles, LA",77951
10,"Boulder, CO *",77648
11,"Washington-Arlington-Alexandria, DC-VA-MD-WV *",77551
12,"Trenton-Princeton, NJ",76957
13,"Columbus, IN",76892
14,"New York-Newark-Jersey City, NY-NJ-PA",76689
15,"Hartford-East Hartford-Middletown, CT",74218
16,"Lima, OH",73629
17,"Longview, TX",73253
18,"Napa, CA",71726
19,"Los Angeles-Long Beach-Anaheim, CA",70802
20,"Madison, WI",70454
21,"Beaumont-Port Arthur, TX",68808
22,"Des Moines-West Des Moines, IA",67868
23,"Salt Lake City, UT",67427
24,"Wausau-Weston, WI",67247
25,"Denver-Aurora-Lakewood, CO *",66145
26,"San Diego-Chula Vista-Carlsbad, CA",65611
27,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",65395
28,"Casper, WY",65361
29,"Minneapolis-St. Paul-Bloomington, MN-WI",65343
30,"Baltimore-Columbia-Towson, MD",65325
31,"Greeley, CO *",65323
32,"Sioux Falls, SD",64913
33,"Chicago-Naperville-Elgin, IL-IN-WI",64393
34,"Norwich-New London, CT",64040
35,"Manhattan, KS",63940
36,"Kokomo, IN",63780
37,"Houston-The Woodlands-Sugar Land, TX",63643
38,"Cedar Rapids, IA",63372
39,"San Angelo, TX",63325
40,"Oxnard-Thousand Oaks-Ventura, CA",62798
41,"Harrisburg-Carlisle, PA",62485
42,"Santa Maria-Santa Barbara, CA",62384
43,"Urban Honolulu, HI",62338
44,"Decatur, IL",62299
45,"Dallas-Fort Worth-Arlington, TX",62188
46,"Peoria, IL",62086
47,"Austin-Round Rock-Georgetown, TX",61991
48,"Baton Rouge, LA",61952
49,"Bloomington, IL",61831
50,"Rocky Mount, NC",61707
51,"Manchester-Nashua, NH",61445
52,"Nashville-Davidson--Murfreesboro--Franklin, TN",60990
53,"Indianapolis-Carmel-Anderson, IN",60860
54,"Portland-Vancouver-Hillsboro, OR-WA",60522
55,"Atlanta-Sandy Springs-Alpharetta, GA",60043
56,"Bellingham, WA",59888
57,"Omaha-Council Bluffs, NE-IA",59652
58,"Pittsburgh, PA",59538
59,"Salinas, CA",59309
60,"Albany-Schenectady-Troy, NY",59295
61,"Ann Arbor, MI",59208
62,"Midland, MI",59098
63,"Ames, IA",58946
64,"Milwaukee-Waukesha, WI",58726
65,"California-Lexington Park, MD",58681
66,"Jackson, TN",58601
67,"Elkhart-Goshen, IN",58565
68,"Carson City, NV",58472
69,"New Orleans-Metairie, LA",58421
70,"Barnstable Town, MA",58384
71,"Mount Vernon-Anacortes, WA",58261
72,"San Luis Obispo-Paso Robles, CA",58225
73,"Sheboygan, WI",58032
74,"Cleveland-Elyria, OH",58010
75,"Richmond, VA *",57929
76,"Toledo, OH",57800
77,"Green Bay, WI",57790
78,"Rochester, MN",57694
79,"Williamsport, PA",57452
80,"Charleston, WV",57334
81,"Charlotte-Concord-Gastonia, NC-SC",57144
82,"Santa Rosa-Petaluma, CA",57138
83,"Fairbanks, AK *",57129
84,"Cincinnati, OH-KY-IN",57068
85,"Oklahoma City, OK",57051
86,"Billings, MT",56740
87,"Anchorage, AK",56616
88,"Syracuse, NY",56446
89,"Kansas City, MO-KS",56176
90,"New Haven-Milford, CT",56039
91,"Burlington-South Burlington, VT",56008
92,"Raleigh-Cary, NC",55872
93,"Kahului-Wailuku-Lahaina, HI",55863
94,"Enid, OK",55681
95,"Bakersfield, CA",55605
96,"Detroit-Warren-Dearborn, MI",55168
97,"Iowa City, IA",54980
98,"Sacramento-Roseville-Folsom, CA",54856
99,"Columbus, OH",54438
