,state of India,Rate of unemployment
0,Nagaland,21.6%
1,A.& N. Islands,14.7%
2,Goa,13.9%
3,Lakshadweep,13.3%
4,Manipur,11.6%
5,Puducherry,10.4%
6,Kerala,10%
7,Haryana,9.3%
8,Assam,8.3%
9,Tamil Nadu,7.9%
10,Punjab,7.8%
11,Jharkhand,7.1%
12,Bihar,7%
13,Uttarakhand,6.9%
14,Odisha,6.9%
15,Mizoram,6.5%
16,Telangana,6.5%
17,Tripura,6.3%
18,Daman & Diu,6.2%
19,Uttar Pradesh,5.5%
20,Arunachal Pradesh,5.3%
21,Gujarat,5.2%
22,Himachal Pradesh,5.2%
23,Rajasthan,4.5%
24,Jammu & Kashmir,4.2%
25,Karnataka,3.9%
26,West Bengal,3.8%
27,Madhya Pradesh,3.6%
28,Andhra Pradesh,3.6%
29,Delhi,3.5%
30,Chandigarh,3.5%
31,Maharashtra,3.3%
32,Sikkim,2.7%
33,Chhatisgarh,2.5%
34,D.& N.Haveli,0.7%
35,Meghalaya,0.6%
