,Month,Number of new cases
0,"Nov 24, 2020",9
1,"Nov 23, 2020",16
2,"Nov 22, 2020",3
3,"Nov 21, 2020",16
4,"Nov 20, 2020",18
5,"Nov 19, 2020",21
6,"Nov 18, 2020",5
7,"Nov 17, 2020",15
8,"Nov 16, 2020",9
9,"Nov 15, 2020",18
10,"Nov 14, 2020",19
11,"Nov 13, 2020",18
12,"Nov 12, 2020",10
13,"Nov 11, 2020",21
14,"Nov 10, 2020",29
15,"Nov 9, 2020",12
16,"Nov 8, 2020",23
17,"Nov 7, 2020",21
18,"Nov 6, 2020",26
19,"Nov 5, 2020",25
20,"Nov 4, 2020",25
21,"Nov 3, 2020",37
22,"Nov 2, 2020",28
23,"Nov 1, 2020",32
24,"Oct 31, 2020",30
25,"Oct 30, 2020",60
26,"Oct 29, 2020",80
27,"Oct 28, 2020",42
28,"Oct 27, 2020",107
29,"Oct 26, 2020",68
30,"Oct 25, 2020",64
31,"Oct 24, 2020",60
32,"Oct 23, 2020",77
33,"Oct 22, 2020",36
34,"Oct 21, 2020",49
35,"Oct 20, 2020",45
36,"Oct 19, 2020",70
37,"Oct 18, 2020",62
38,"Oct 17, 2020",56
39,"Oct 16, 2020",72
40,"Oct 15, 2020",67
41,"Oct 14, 2020",98
42,"Oct 13, 2020",90
43,"Oct 12, 2020",85
44,"Oct 11, 2020",53
45,"Oct 10, 2020",59
46,"Oct 9, 2020",96
47,"Oct 8, 2020",105
48,"Oct 7, 2020",101
49,"Oct 6, 2020",87
50,"Oct 5, 2020",100
51,"Oct 4, 2020",64
52,"Oct 3, 2020",49
53,"Oct 2, 2020",62
54,"Oct 1, 2020",41
55,"Sep 30, 2020",40
56,"Sep 29, 2020",33
57,"Sep 28, 2020",32
58,"Sep 27, 2020",42
59,"Sep 26, 2020",22
60,"Sep 25, 2020",40
61,"Sep 24, 2020",46
62,"Sep 23, 2020",36
63,"Sep 22, 2020",58
64,"Sep 21, 2020",37
65,"Sep 20, 2020",32
66,"Sep 19, 2020",39
67,"Sep 18, 2020",75
68,"Sep 17, 2020",21
69,"Sep 16, 2020",22
70,"Sep 15, 2020",13
71,"Sep 14, 2020",7
72,"Sep 13, 2020",3
73,"Sep 12, 2020",2
74,"Sep 11, 2020",1
75,"Sep 10, 2020",1
76,"Sep 9, 2020",5
77,"Sep 8, 2020",5
78,"Sep 7, 2020",7
79,"Sep 6, 2020",2
80,"Sep 5, 2020",3
81,"Sep 4, 2020",1
82,"Sep 3, 2020",6
83,"Sep 2, 2020",4
84,"Sep 1, 2020",10
85,"Aug 31, 2020",5
86,"Aug 30, 2020",1
87,"Aug 29, 2020",5
88,"Aug 28, 2020",8
89,"Aug 27, 2020",3
90,"Aug 26, 2020",7
91,"Aug 25, 2020",7
92,"Aug 24, 2020",3
93,"Aug 23, 2020",7
94,"Aug 22, 2020",5
95,"Aug 21, 2020",11
96,"Aug 20, 2020",11
97,"Aug 19, 2020",3
98,"Aug 18, 2020",5
99,"Aug 17, 2020",5
100,"Aug 16, 2020",9
101,"Aug 15, 2020",10
102,"Aug 14, 2020",7
103,"Aug 13, 2020",8
104,"Aug 12, 2020",10
105,"Aug 11, 2020",4
106,"Aug 10, 2020",5
107,"Aug 9, 2020",4
108,"Aug 8, 2020",4
109,"Aug 7, 2020",5
110,"Aug 6, 2020",18
111,"Aug 5, 2020",4
112,"Aug 4, 2020",9
113,"Aug 3, 2020",3
114,"Aug 2, 2020",8
115,"Aug 1, 2020",13
116,"Jul 31, 2020",8
117,"Jul 30, 2020",11
118,"Jul 29, 2020",12
119,"Jul 28, 2020",4
120,"Jul 27, 2020",4
121,"Jul 26, 2020",6
122,"Jul 25, 2020",4
123,"Jul 24, 2020",1
124,"Jul 23, 2020",2
125,"Jul 22, 2020",1
126,"Jul 21, 2020",0
127,"Jul 20, 2020",1
128,"Jul 19, 2020",1
129,"Jul 18, 2020",2
130,"Jul 17, 2020",0
131,"Jul 16, 2020",1
132,"Jul 15, 2020",0
133,"Jul 14, 2020",2
134,"Jul 13, 2020",0
135,"Jul 12, 2020",0
136,"Jul 11, 2020",0
137,"Jul 10, 2020",0
138,"Jul 09, 2020",0
139,"Jul 08, 2020",0
140,"Jul 07, 2020",1
141,"Jul 06, 2020",2
142,"Jul 05, 2020",0
143,"Jul 04, 2020",0
144,"Jul 03, 2020",0
145,"Jul 02, 2020",5
146,"Jul 01, 2020",1
147,"Jun 30, 2020",2
148,"Jun 29, 2020",1
149,"Jun 28, 2020",1
150,"Jun 27, 2020",0
151,"Jun 26, 2020",2
152,"Jun 25, 2020",1
153,"Jun 24, 2020",2
154,"Jun 23, 2020",0
155,"Jun 22, 2020",0
156,"Jun 21, 2020",0
157,"Jun 20, 2020",0
158,"Jun 19, 2020",1
159,"Jun 18, 2020",2
160,"Jun 17, 2020",0
161,"Jun 16, 2020",1
162,"Jun 15, 2020",1
163,"Jun 14, 2020",0
164,"Jun 13, 2020",2
165,"Jun 12, 2020",1
166,"Jun 11, 2020",0
167,"Jun 10, 2020",0
168,"Jun 09, 2020",0
169,"Jun 08, 2020",0
170,"Jun 07, 2020",0
171,"Jun 06, 2020",0
172,"Jun 05, 2020",1
173,"Jun 04, 2020",0
174,"Jun 03, 2020",0
175,"Jun 02, 2020",0
176,"Jun 01, 2020",0
177,"May 31, 2020",0
178,"May 30, 2020",0
179,"May 29, 2020",1
180,"May 28, 2020",0
181,"May 27, 2020",0
182,"May 26, 2020",1
183,"May 25, 2020",0
184,"May 24, 2020",0
185,"May 23, 2020",0
186,"May 22, 2020",1
187,"May 21, 2020",0
188,"May 20, 2020",0
189,"May 19, 2020",1
190,"May 18, 2020",0
191,"May 17, 2020",0
192,"May 16, 2020",0
193,"May 15, 2020",0
194,"May 14, 2020",0
195,"May 13, 2020",0
196,"May 12, 2020",1
197,"May 11, 2020",-
198,"May 10, 2020",-
199,"May 09, 2020",-
200,"May 08, 2020",-
201,"May 07, 2020",-
202,"May 06, 2020",2
203,"May 05, 2020",-
204,"May 04, 2020",-
205,"May 03, 2020",-
206,"May 02, 2020",1
207,"May 01, 2020",-
208,"Apr 30, 2020",1
209,"Apr 29, 2020",-
210,"Apr 28, 2020",2
211,"Apr 27, 2020",3
212,"Apr 26, 2020",-
213,"Apr 25, 2020",2
214,"Apr 24, 2020",1
215,"Apr 23, 2020",-
216,"Apr 22, 2020",4
217,"Apr 21, 2020",7
218,"Apr 20, 2020",5
219,"Apr 19, 2020",2
220,"Apr 18, 2020",11
221,"Apr 17, 2020",6
222,"Apr 16, 2020",15
223,"Apr 15, 2020",12
224,"Apr 14, 2020",7
225,"Apr 13, 2020",9
226,"Apr 12, 2020",10
227,"Apr 11, 2020",12
228,"Apr 10, 2020",14
229,"Apr 09, 2020",27
230,"Apr 08, 2020",32
231,"Apr 07, 2020",30
232,"Apr 06, 2020",24
233,"Apr 05, 2020",74
234,"Apr 04, 2020",70
235,"Apr 03, 2020",54
236,"Apr 02, 2020",45
237,"Apr 01, 2020",99
238,"Mar 31, 2020",83
239,"Mar 30, 2020",51
240,"Mar 29, 2020",66
241,"Mar 28, 2020",56
242,"Mar 27, 2020",70
243,"Mar 26, 2020",87
244,"Mar 25, 2020",42
245,"Mar 24, 2020",106
246,"Mar 23, 2020",67
247,"Mar 22, 2020",22
248,"Mar 21, 2020",92
249,"Mar 20, 2020",60
250,"Mar 19, 2020",76
251,"Mar 18, 2020",78
252,"Mar 17, 2020",53
253,"Mar 16, 2020",22
254,"Mar 15, 2020",20
255,"Mar 14, 2020",24
256,"Mar 13, 2020",20
257,"Mar 12, 2020",16
258,"Mar 11, 2020",24
259,"Mar 10, 2020",14
260,"Mar 09, 2020",9
261,"Mar 08, 2020",5
262,"Mar 07, 2020",7
263,"Mar 06, 2020",9
264,"Mar 05, 2020",8
265,"Mar 04, 2020",15
266,"Mar 03, 2020",5
267,"Mar 02, 2020",6
268,"Mar 01, 2020",3
269,"Feb 29, 2020",-
270,"Feb 28, 2020",1
