,sports team,Pay per player in million U.S. dollars
0,FC Barcelona (La Liga),12.28
1,Real Madrid (La Liga),11.15
2,Oklahoma City Thunder (NBA),9.43
3,Golden State Warriors (NBA),9.92
4,Washington Wizards (NBA),8.5
5,Toronto Raptors (NBA),8.15
6,Houston Rockets (NBA),9.16
7,Miami Heat (NBA),9.3
8,Juventus Turin (Serie A),10.11
9,Manchester United (EPL),7.66
10,Charlotte Hornets (NBA),8.28
11,Minnesota Timberwolves (NBA),8.27
12,Boston Celtics (NBA),7.81
13,Portland Trail Blazers (NBA),10.04
14,Bayern Munich (Bundesliga),8.12
15,Cleveland Cavaliers (NBA),9.21
16,Atletico Madrid (La Liga),7.04
17,Paris Saint-Germain (Ligue 1),8.93
18,Memphis Grizzlies (NBA),7.1
19,Manchester City (EPL),8.73
20,Los Angeles Clippers (NBA),8.67
21,New Orleans Pelicans (NBA),7.73
22,Detroit Pistons (NBA),8.47
23,Milwaukee Bucks (NBA),8.17
24,San Antonio Spurs (NBA),7.88
25,Utah Jazz (NBA),7.74
26,Denver Nuggets (NBA),9.31
27,Philadelphia Phillies (MLB),5.85
28,Brooklyn Nets (NBA),8.04
29,FC Liverpool (EPL),6.92
30,Washington Nationals (MLB),5.18
31,Boston Red Sox (MLB),6.96
32,Los Angeles Lakers (NBA),7.86
33,Tottenham (EPL),4.95
34,Chicago Bulls (NBA),7.45
35,New York Knicks (NBA),7.08
36,San Francisco Giants (MLB),2.99
37,New York Yankees (MLB),7.69
38,Orlando Magic (NBA),9.48
39,Internazionale Milan,4.08
40,AC Milan,3.44
41,Los Angeles Angels,5.21
42,Dallas Mavericks (NBA),7.92
43,Atlanta Hawks,7.48
44,Sacramento Kings (NBA),7.88
45,Philadelphia 76ers,8.62
46,Los Angeles Dodgers (MLB),5.04
47,Chelsea London (EPL),5.97
48,Detroit Tigers (MLB),3.12
49,Arsenal London (EPL),5.99
