,Industry,Value added in billion U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",4239.3
1,Professional and business services,2576.2
2,Government,2504.7
3,Manufacturing,2334.6
4,"Educational services, health care, and social assistance",1780.3
5,Wholesale trade,1234.0
6,Retail trade,1132.5
7,Information,1125.9
8,Construction,840.0
9,"Arts, entertainment, recreation, accommodation, and food services",839.1
10,Transportation and warehousing,648.0
11,"Other services, except government",434.7
12,Mining,321.1
13,Utilities,319.4
14,"Agriculture, forestry, fishing, and hunting",164.2
