,profession,Career Bliss rating
0,Software Quality Assurance Engineer,4.25
1,Executive Chef,4.15
2,Property Manager,4.15
3,Teller,4.14
4,Warehouse Manager,4.13
5,Administrative Assistant,4.11
6,Customer Service Representative,4.06
7,Accountant,4.05
8,System Engineer,4.02
9,Construction Manager,4.01
10,Human Resources Manager,4.01
11,Field Service Technician,4.01
12,Process Engineer,4.01
13,Financial Analyst,3.99
14,Software Engineer,3.97
15,Director of Operations,3.96
16,Loan Officer,3.96
17,Electrician,3.95
18,Machine Operator,3.95
19,System Administrator,3.93
