,oil company,Capacity in thousand barrels per day
0,Replan - Refinaria de Paulínia*,434.0
1,Rlam - Refinaria Landulpho Alves*,377.39
2,Revap - Refinaria Henrique Lage*,251.59
3,Reduc - Refinaria Duque de Caxias*,251.59
4,Refap - Refinaria Alberto Pasqualini S.A.*,220.14
5,Repar - Refinaria Presidente Getúlio Vargas*,213.85
6,RPBC - Refinaria Presidente Bernardes*,179.18
7,Regap - Refinaria Gabriel Passos*,166.05
8,Rnest - Refinaria Abreu e Lima*,115.01
9,Recap - Refinaria de Capuava*,62.9
10,Reman - Refinaria Isaac Sabbá*,45.92
11,RPCC - Refinaria Potiguar Clara Camarão*,44.66
12,Riograndense - Refinaria de Petróleo Riograndense S.A.,17.01
13,Lubnor - Lubrificantes e Derivados de Petróleo do Nordeste*,10.38
14,Manguinhos - Refinaria de Petróleos de Manguinhos S.A.,10.0
15,Univen - Univen Refinaria de Petróleo Ltda.,5.16
16,FASF - Rlam Fábrica de Asfalto**,3.77
17,Dax Oil - Dax Oil Refino S.A.,2.1
