,unitary authority of wales,"Population (in 1,000s)"
0,Cardiff,366.9
1,Swansea,246.99
2,Rhondda Cynon Taf,241.26
3,Carmarthenshire,188.77
4,Caerphilly,181.08
5,Flintshire,156.1
6,Newport,154.68
7,Bridgend,147.05
8,Neath Port Talbot,143.32
9,Wrexham,135.96
10,Vale of Glamorgan,133.59
11,Powys,132.44
12,Pembrokeshire,125.82
13,Gwynedd,124.56
14,Conwy,117.2
15,Denbighshire,95.7
16,Monmouthshire,94.59
17,Torfaen,93.96
18,Ceredigion,72.69
19,Isle of Anglesey,70.04
20,Blaenau Gwent,69.86
21,Merthyr Tydfil,60.33
