,state of Mexico,Number of jobs
0,Jalisco,38226
1,Nuevo Leon,36775
2,Ciudad de Mexico,32735
3,Guanajuato,29759
4,Baja California,29645
5,State of Mexico,28532
6,Queretaro,27325
7,Quintana Roo,21538
8,Chihuahua,20960
9,Sonora,19364
10,San Luis Potosí,18805
11,Tamaulipas,17087
12,Coahuila,15805
13,Michoacan,13676
14,Puebla,10955
15,Aguascalientes,8317
16,Baja California Sur,6739
17,Yucatan,5546
18,Hidalgo,5469
19,Sinaloa,5415
20,Tlaxcala,4025
21,Veracruz,3538
22,Colima,3017
23,Nayarit,2993
24,Zacatecas,2751
25,Durango,1259
26,Oaxaca,887
27,Morelos,-890
28,Chiapas,-1055
29,Guerrero,-1403
30,Campeche,-1405
31,Tabasco,-1931
