,Month,Fatality rate
0,"Jan 8, 2021",3.09%
1,"Jan 7, 2021",3.08%
2,"Jan 6, 2021",3.07%
3,"Jan 5, 2021",3.05%
4,"Jan 4, 2021",3.03%
5,"Jan 3, 2021",3.01%
6,"Jan 2, 2021",2.99%
7,"Jan 1, 2021",2.97%
8,"Dec 31, 2020",2.96%
9,"Dec 30, 2020",2.95%
10,"Dec 29, 2020",2.93%
11,"Dec 28, 2020",2.89%
12,"Dec 27, 2020",2.86%
13,"Dec 26, 2020",2.84%
14,"Dec 25, 2020",2.81%
15,"Dec 24, 2020",2.8%
16,"Dec 23, 2020",2.8%
17,"Dec 22, 2020",2.76%
18,"Dec 21, 2020",2.71%
19,"Dec 20, 2020",2.67%
20,"Dec 19, 2020",2.64%
21,"Dec 18, 2020",2.61%
22,"Dec 17, 2020",2.58%
23,"Dec 16, 2020",2.55%
24,"Dec 15, 2020",2.53%
25,"Dec 14, 2020",2.51%
26,"Dec 13, 2020",2.48%
27,"Dec 12, 2020",2.45%
28,"Dec11, 2020",2.44%
29,"Dec 10, 2020",2.43%
30,"Dec 9, 2020",2.41%
31,"Dec 8, 2020",2.38%
32,"Dec 7, 2020",2.35%
33,"Dec 6, 2020",2.34%
34,"Dec 5, 2020",2.34%
35,"Dec 4, 2020",2.31%
36,"Dec 3, 2020",2.29%
37,"Dec 2, 2020",2.28%
38,"Dec 1, 2020",2.25%
39,"Nov 30, 2020",2.22%
40,"Nov 29, 2020",2.2%
41,"Nov 28, 2020",2.2%
42,"Nov 27, 2020",2.19%
43,"Nov 26, 2020",2.2%
44,"Nov 25, 2020",2.21%
45,"Nov 24, 2020",2.2%
46,"Nov 23, 2020",2.19%
47,"Nov 22, 2020",2.18%
48,"Nov 21, 2020",2.17%
49,"Nov 20, 2020",2.15%
50,"Nov 19, 2020",2.15%
51,"Nov 18, 2020",2.15%
52,"Nov 17, 2020",2.14%
53,"Nov 16, 2020",2.16%
54,"Nov 15, 2020",2.19%
55,"Nov 14, 2020",2.18%
56,"Nov 13, 2020",2.18%
57,"Nov 12, 2020",2.19%
58,"Nov 11, 2020",2.19%
59,"Nov 10, 2020",2.18%
60,"Nov 9, 2020",2.17%
61,"Nov 8, 2020",2.22%
62,"Nov 7, 2020",2.25%
63,"Nov 6, 2020",2.26%
64,"Nov 5, 2020",2.26%
65,"Nov 4, 2020",2.26%
66,"Nov 3, 2020",2.27%
67,"Nov 2, 2020",2.28%
68,"Nov 1, 2020",2.3%
69,"Oct 31, 2020",2.32%
70,"Oct 30, 2020",2.37%
71,"Oct 29, 2020",2.4%
72,"Oct 28, 2020",2.39%
73,"Oct 27, 2020",2.41%
74,"Oct 26, 2020",2.39%
75,"Oct 25, 2020",2.4%
76,"Oct 24, 2020",2.47%
77,"Oct 23, 2020",2.49%
78,"Oct 22, 2020",2.49%
79,"Oct 21, 2020",2.5%
80,"Oct 20, 2020",2.48%
81,"Oct 19, 2020",2.45%
82,"Oct 18, 2020",2.46%
83,"Oct 17, 2020",2.47%
84,"Oct 16, 2020",2.51%
85,"Oct 15, 2020",2.27%
86,"Oct 14, 2020",2.5%
87,"Oct 13, 2020",2.49%
88,"Oct 12, 2020",2.49%
89,"Oct 11, 2020",2.53%
90,"Oct 10, 2020",2.54%
91,"Oct 9, 2020",2.59%
92,"Oct 8, 2020",2.63%
93,"Oct 7, 2020",2.64%
94,"Oct 6, 2020",2.64%
95,"Oct 5, 2020",2.64%
96,"Oct 4, 2020",2.68%
97,"Oct 3, 2020",2.73%
98,"Oct 2, 2020",2.78%
99,"Oct 1, 2020",2.85%
100,"Sep 30, 2020",2.89%
101,"Sep 29, 2020",2.96%
102,"Sep 28, 2020",3.03%
103,"Sep 27, 2020",3.06%
104,"Sep 26, 2020",3.16%
105,"Sep 25, 2020",3.24%
106,"Sep 24, 2020",3.34%
107,"Sep 23, 2020",3.42%
108,"Sep 22, 2020",3.55%
109,"Sep 21, 2020",3.63%
110,"Sep 20, 2020",3.79%
111,"Sep 19, 2020",3.98%
112,"Sep 18, 2020",4.15%
113,"Sep 17, 2020",4.37%
114,"Sep 16, 2020",4.52%
115,"Sep 15, 2020",4.65%
116,"Sep 14, 2020",4.88%
117,"Sep 13, 2020",5.17%
118,"Sep 12, 2020",5.35%
119,"Sep 11, 2020",5.78%
120,"Sep 10, 2020",6.18%
121,"Sep 9, 2020",6.46%
122,"Sep 8, 2020",6.72%
123,"Sep 7, 2020",6.97%
124,"Sep 6, 2020",7.44%
125,"Sep 5, 2020",7.9%
126,"Sep 4, 2020",8.41%
127,"Sep 3, 2020",8.95%
128,"Sep 2, 2020",9.34%
129,"Sep 1, 2020",9.84%
130,"Aug 31, 2020",10.01%
131,"Aug 30, 2020",10.3%
132,"Aug 29, 2020",10.83%
133,"Aug 28, 2020",11.14%
134,"Aug 27, 2020",11.41%
135,"Aug 26, 2020",11.61%
136,"Aug 25, 2020",11.77%
137,"Aug 24, 2020",11.8%
138,"Aug 23, 2020",11.89%
139,"Aug 22, 2020",11.9%
140,"Aug 21, 2020",11.98%
141,"Aug 20, 2020",12.06%
142,"Aug 19, 2020",12.17%
143,"Aug 18, 2020",12.25%
144,"Aug 17, 2020",12.29%
145,"Aug 16, 2020",12.36%
146,"Aug 15, 2020",12.44%
147,"Aug 14, 2020",12.5%
148,"Aug 13, 2020",12.61%
149,"Aug 12, 2020",12.68%
150,"Aug 11, 2020",12.74%
151,"Aug 10, 2020",12.78%
152,"Aug 9, 2020",12.81%
153,"Aug 8, 2020",12.93%
154,"Aug 7, 2020",13.02%
155,"Aug 6, 2020",13.05%
156,"Aug 5, 2020",13.12%
157,"Aug 4, 2020",13.13%
158,"Aug 3, 2020",13.18%
159,"Aug 2, 2020",13.16%
160,"Aug 1, 2020",13.19%
161,"Jul 31, 2020",13.22%
162,"Jul 30, 2020",13.29%
163,"Jul 29, 2020",13.34%
164,"Jul 28, 2020",13.37%
165,"Jul 27, 2020",13.39%
166,"Jul 26, 2020",13.43%
167,"Jul 25, 2020",13.47%
168,"Jul 24, 2020",13.55%
169,"Jul 23, 2020",13.6%
170,"Jul 22, 2020",13.65%
171,"Jul 21, 2020",13.71%
172,"Jul 20, 2020",13.73%
173,"Jul 19, 2020",13.75%
174,"Jul 18, 2020",13.81%
175,"Jul 17, 2020",13.85%
176,"Jul 16, 2020",13.9%
177,"Jul 15, 2020",13.95%
178,"Jul 14, 2020",13.97%
179,"Jul 13, 2020",14%
180,"Jul 12, 2020",14.05%
181,"Jul 11, 2020",14.06%
182,"Jul 10, 2020",14.04%
183,"Jul 9, 2020",14%
184,"Jul 8, 2020",13.99%
185,"Jul 7, 2020",14%
186,"Jul 6, 2020",14.06%
187,"Jul 5, 2020",14.08%
188,"Jul 4, 2020",14.11%
189,"Jul 3, 2020",14.11%
190,"Jul 2, 2020",14.09%
191,"Jul 1, 2020",14.09%
192,"Jun 30, 2020",14.07%
193,"Jun 29, 2020",14.11%
194,"Jun 28, 2020",14.02%
195,"Jun 27, 2020",13.96%
196,"Jun 26, 2020",14%
197,"Jun 25, 2020",13.99%
198,"Jun 24, 2020",14%
199,"Jun 23, 2020",13.87%
200,"Jun 22, 2020",13.94%
201,"Jun 21, 2020",13.92%
202,"Jun 20, 2020",13.95%
203,"Jun 19, 2020",13.91%
204,"Jun 18, 2020",13.92%
205,"Jun 17, 2020",13.9%
206,"Jun 16, 2020",13.85%
207,"Jun 15, 2020",13.81%
208,"Jun 14, 2020",13.81%
209,"Jun 13, 2020",13.75%
210,"Jun 12, 2020",13.69%
211,"Jun 11, 2020",13.69%
212,"Jun 10, 2020",13.68%
213,"Jun 9, 2020",13.69%
214,"Jun 8, 2020",13.65%
215,"Jun 7, 2020",13.62%
216,"Jun 6, 2020",13.65%
217,"Jun 5, 2020",13.65%
218,"Jun 4, 2020",13.63%
219,"Jun 3, 2020",13.58%
220,"Jun 2, 2020",13.56%
221,"Jun 1, 2020",13.54%
222,"May 31, 2020",13.57%
223,"May 30, 2020",13.55%
224,"May 29, 2020",13.47%
225,"May 28, 2020",13.33%
226,"May 27, 2020",13.29%
227,"May 26, 2020",13.23%
228,"May 25, 2020",13.07%
229,"May 24, 2020",12.99%
230,"May 23, 2020",12.98%
231,"May 22, 2020",12.94%
232,"May 21, 2020",12.99%
233,"May 20, 2020",13.06%
234,"May 19, 2020",13.13%
235,"May 18, 2020",13.06%
236,"May 17, 2020",12.85%
237,"May 16, 2020",12.89%
238,"May 15, 2020",12.93%
239,"May 14, 2020",12.89%
240,"May 13, 2020",12.87%
241,"May 12, 2020",12.83%
242,"May 11, 2020",12.81%
243,"May 10, 2020",12.65%
244,"May 9, 2020",12.6%
245,"May 8, 2020",12.33%
246,"May 7, 2020",12.15%
247,"May 6, 2020",11.98%
248,"May 5, 2020",11.84%
249,"May 4, 2020",11.56%
250,"May 3, 2020",11.34%
251,"May 2, 2020",11.38%
252,"May 1, 2020",11.28%
253,"Apr 30, 2020",11.2%
254,"Apr 29, 2020",11%
255,"Apr 28, 2020",10.98%
256,"Apr 27, 2020",10.84%
257,"Apr 26, 2020",10.88%
258,"Apr 25, 2020",10.72%
259,"Apr 24, 2020",10.49%
260,"Apr 23, 2020",10.46%
261,"Apr 22, 2020",10.37%
262,"Apr 21, 2020",10.15%
263,"Apr 20, 2020",10.03%
264,"Apr 19, 2020",9.86%
265,"Apr 18, 2020",9.37%
266,"Apr 17, 2020",8.89%
267,"Apr 16, 2020",8.59%
268,"Apr 15, 2020",8.48%
269,"Apr 14, 2020",8.06%
270,"Apr 13, 2020",7.47%
271,"Apr 12, 2020",7.02%
272,"Apr 11, 2020",6.48%
273,"Apr 10, 2020",6.47%
274,"Apr 9, 2020",6.73%
275,"Apr 8, 2020",6.48%
276,"Apr 7, 2020",5.72%
277,"Apr 6, 2020",5.1%
278,"Apr 5, 2020",4.63%
279,"Apr 4, 2020",4.71%
280,"Apr 3, 2020",4.2%
281,"Apr 2, 2020",3.58%
282,"Apr 1, 2020",3.8%
283,"Mar 31, 2020",3.25%
284,"Mar 30, 2020",3.35%
285,"Mar 29, 2020",2.9%
286,"Mar 28, 2020",3.2%
287,"Mar 27, 2020",3.33%
288,"Mar 26, 2020",3.83%
289,"Mar 25, 2020",4.42%
290,"Mar 24, 2020",4.81%
291,"Mar 23, 2020",4.79%
292,"Mar 22, 2020",4.58%
293,"Mar 21, 2020",3.88%
294,"Mar 20, 2020",4.7%
295,"Mar 19, 2020",1.36%
296,"Mar 18, 2020",1.72%
297,"Mar 17, 2020",2%
298,"Mar 16, 2020",2.56%
299,"Mar 15, 2020",3.12%
