,Quarter,E-commerce sales in million U.S. dollars
0,Q4 '19*,158049
1,Q3 '19,153976
2,Q2 '19,147141
3,Q1 '19,140346
4,Q4 '18,134969
5,Q3 '18,132819
6,Q2 '18,129046
7,Q1 '18,122534
8,Q4 '17,118216
9,Q3 '17,114186
10,Q2 '17,110505
11,Q1 '17,106207
12,Q4 '16,101776
13,Q3 '16,99875
14,Q2 '16,96283
15,Q1 '16,92182
16,Q4 '15,88968
17,Q3 '15,86569
18,Q2 '15,83370
19,Q1 '15,80344
20,Q4 '14,77755
21,Q3 '14,75883
22,Q2 '14,73480
23,Q1 '14,70492
24,Q4 '13,68179
25,Q3 '13,65804
26,Q2 '13,63949
27,Q1 '13,62025
28,Q4 '12,60439
29,Q3 '12,58157
30,Q2 '12,56067
31,Q1 '12,54896
32,Q4 '11,52984
33,Q3 '11,49985
34,Q2 '11,48696
35,Q1 '11,46908
36,Q4 '10,45064
37,Q3 '10,43507
38,Q2 '10,41308
39,Q1 '10,39291
40,Q4 '09,38106
41,Q3 '09,37391
42,Q2 '09,35279
43,Q1 '09,34145
