,Country,Average player age in years
0,Argentina,28.9
1,Honduras,28.5
2,Portugal,28.5
3,Greece,28.5
4,Uruguay,28.5
5,Brazil,28.4
6,Spain,28.3
7,Iran,28.1
8,Chile,28.0
9,Russia,28.0
10,Colombia,27.9
11,Italy,27.9
12,United States,27.8
13,Ecuador,27.8
14,Ivory Coast,27.8
15,Costa Rica,27.5
16,Mexico,27.3
17,Croatia,27.2
18,Japan,27.2
19,France,27.1
20,Bosnia and Herzegovina,27.1
21,Cameroon,26.9
22,Algeria,26.6
23,England,26.6
24,The Netherlands,26.5
25,Australia,26.4
26,Germany,26.3
27,Switzerland,26.1
28,Belgium,26.0
29,South Korea,26.0
30,Nigeria,25.8
31,Ghana,25.4
