,Response,Share of respondents
0,I can't afford to,66%
1,I'm counting on scholarships to pay for college,27%
2,We will rely on student loans,19%
3,I plan to start saving for college later,16%
4,It's so overwhelming that I don't know where to start,12%
5,It is more important to save for other things,9%
6,Other family members will pay for college,5%
7,"My parents didn't save for me, so I'm not going to save for my kids",5%
8,My kids are not going to go to college,4%
9,I already have enough saved to pay for college,4%
