,Sovereign wealth fund,Managed assets in billion U.S. dollars
0,Norway Government Pension Fund Global (Norway),1186.67
1,China Investment Corporation (China),940.6
2,Abu Dhabi Investment Authority (UAE),579.62
3,Kuwait Investment Authority (Kuwait),533.65
4,Hong Kong Monetary AuthorityInvestment Portfolio (China - Hong Kong),528.05
5,GIC Private Limited (Singapore),453.2
6,SAFE Investment Company (China)*,417.84
7,Temasek Holdings (Singapore)*,375.38
8,Public Investment Fund,360.0
9,National Council for Social Security Fund (China),325.0
