,Year,Gross domestic product in billion international dollars
0,2021*,53.57
1,2020*,50.5
2,2019*,51.39
3,2018,49.2
4,2017,46.32
5,2016,43.36
6,2015,41.31
7,2014,39.37
8,2013,37.51
9,2012,35.86
10,2011,33.79
11,2010,31.88
12,2009,30.38
13,2008,30.9
14,2007,29.08
15,2006,26.67
16,2005,24.29
17,2004,22.21
18,2003,20.36
19,2002,19.12
20,2001,18.14
21,2000,17.28
22,1999,15.75
23,1998,15.65
24,1997,15.04
25,1996,14.08
26,1995,13.35
27,1994,12.56
28,1993,12.46
29,1992,11.46
30,1991,10.61
31,1990,9.94
32,1989,9.57
33,1988,8.83
34,1987,8.15
35,1986,7.5
36,1985,7.3
37,1984,6.79
