,Month,Units sold
0,Dec 19,15030
1,Nov 19,16238
2,Oct 19,16745
3,Sep 19,32522
4,Aug 19,10764
5,Jul 19,17049
6,Jun 19,22049
7,May 19,19892
8,Apr 19,18074
9,Mar 19,40755
10,Feb 19,10390
11,Jan 19,16629
12,Dec 18,16493
13,Nov 18,14666
14,Oct 18,16820
15,Sep 18,33326
16,Aug 18,11208
17,Jul 18,16028
18,Jun 18,22334
19,May 18,21136
20,Apr 18,20114
21,Mar 18,50257
22,Feb 18,12046
23,Jan 18,19654
24,Dec 17,15541
25,Nov 17,18095
26,Oct 17,19580
27,Sep 17,39696
28,Aug 17,9234
29,Jul 17,16934
30,Jun 17,27095
31,May 17,20514
32,Apr 17,16183
33,Mar 17,71837
34,Feb 17,9909
35,Jan 17,22778
36,Dec 16,20741
37,Nov 16,21944
38,Oct 16,21411
39,Sep 16,49078
40,Aug 16,11703
41,Jul 16,22247
42,Jun 16,30244
43,May 16,23740
44,Apr 16,23311
45,Mar 16,60349
46,Feb 16,11513
47,Jan 16,22035
