,Month,Number of COVID-19 tests
0,May 15,2875680
1,May 14,2807504
2,May 13,2735628
3,May 12,2673655
4,May 11,2606652
5,May 10,2565912
6,May 9,2514234
7,May 8,2445063
8,May 7,2381288
9,May 6,2310929
10,May 5,2246666
11,May 4,2191403
12,May 3,2153772
13,May 2,2108837
14,May 1,2053425
15,Apr 30,1979217
16,Apr 29,1910761
17,Apr 28,1846934
18,Apr 27,1789662
19,Apr 26,1757659
20,Apr 25,1707743
21,Apr 24,1642356
22,Apr 23,1579909
23,Apr 22,1513251
24,Apr 21,1450150
25,Apr 20,1398024
26,Apr 19,1356541
27,Apr 18,1305833
28,Apr 17,1244108
29,Apr 16,1178403
30,Apr 15,1117404
31,Apr 14,1073689
32,Apr 13,1046910
33,Apr 12,1010193
34,Apr 11,963473
35,Apr 10,906864
36,Apr 9,853369
37,Apr 8,807125
38,Apr 7,755445
39,Apr 6,721732
40,Apr 5,691461
41,Apr 4,657224
42,Apr 3,619849
43,Apr 2,581232
44,Apr 1,541423
45,Mar 31,506968
46,Mar 30,477359
47,Mar 29,454030
48,Mar 28,429526
49,Mar 27,394079
50,Mar 26,361060
51,Mar 25,324445
52,Mar 24,296964
53,Mar 23,275468
54,Mar 22,258402
55,Mar 21,233222
56,Mar 20,206886
57,Mar 19,182777
58,Mar 18,165541
59,Mar 17,148657
60,Mar 16,137962
61,Mar 15,124899
62,Mar 14,109170
63,Mar 13,97488
64,Mar 12,86011
65,Mar 11,73154
66,Mar 10,60761
67,Mar 9,53826
68,Mar 8,49937
69,Mar 7,42062
70,Mar 6,36359
71,Mar 5,32362
72,Mar 4,29837
73,Mar 3,25856
74,Mar 2,23345
75,Mar 1,21127
76,Feb 29,18661
77,Feb 28,15695
78,Feb 27,12014
79,Feb 26,9587
80,Feb 25,8623
81,Feb 24,4324
