,Response,Share of respondents
0,Equal pay/fair pay,39%
1,"Equal opportunity for promotion, advancement/no gender discrimination",20%
2,Jobs/unemployment/availability of jobs,8%
3,"Sexual harassment/better treatment, more respect in workplace",8%
4,Access to childcare/ better childcare,7%
5,Balancing work and home life,6%
6,Healthcare,5%
7,Maternity leave/family leave/ time off for family matters,3%
8,Abortion/access to contraception,2%
9,The economy (non-specific),2%
10,Education/access to education,1%
11,Equal benefits,1%
12,Other,5%
13,No opinion,16%
