,Year,GDP per capita in U.S. dollars
0,2024*,4673.78
1,2023*,4328.9
2,2022*,4008.76
3,2021*,3714.03
4,2020*,3484.9
5,2019*,3294.47
6,2018*,3104.22
7,2017,2989.13
8,2016,2953.29
9,2015,2882.77
10,2014,2849.27
11,2013,2768.47
12,2012,2591.63
13,2011,2379.94
14,2010,2155.41
15,2009,1851.07
16,2008,1941.0
17,2007,1683.69
18,2006,1405.21
19,2005,1208.93
20,2004,1093.48
21,2003,1024.77
22,2002,1013.42
23,2001,970.38
24,2000,1051.97
25,1999,1078.0
26,1998,958.16
27,1997,1240.77
28,1996,1276.66
29,1995,1200.43
30,1994,1062.28
31,1993,922.19
32,1992,919.7
33,1991,806.94
34,1990,805.63
35,1989,794.1
36,1988,723.48
37,1987,648.26
38,1986,597.84
39,1985,627.54
40,1984,659.36
