,Country,2008,2018
0,United States,6783,15311
1,Saudi Arabia,10655,12287
2,Russian Federation,9965,11438
3,Canada,3207,5208
4,China,3814,3798
5,Iraq,2428,4614
6,Iran,4415,4715
7,United Arab Emirates,3113,3942
8,Kuwait,2781,3049
9,Venezuela,3228,1514
10,Mexico,3165,2068
11,Brazil,1887,2683
12,Nigeria,2172,2051
13,Norway,2458,1844
14,Qatar,1432,1879
15,Angola,1876,1534
16,Kazakhstan,1485,1927
17,Algeria,1951,1510
18,Colombia,588,866
19,United Kingdom,1549,1085
20,Oman,757,978
21,India,818,869
22,Azerbaijan,916,795
23,Indonesia,1006,808
24,Egypt,715,670
25,Malaysia,727,682
26,Argentina,802,592
27,Ecuador,507,517
28,Thailand,368,485
29,Libya,1875,1010
30,Australia,538,356
31,Vietnam,309,275
32,Equatorial Guinea,369,190
33,Republic of Congo,237,333
34,Turkmenistan,208,222
35,Gabon,240,194
36,Denmark,287,138
37,Brunei,175,112
38,Italy,108,97
39,Peru,122,154
40,Trinidad & Tobago,149,87
41,Sudan,457,100
42,Romania,99,74
43,Chad,127,1534
44,Uzbekistan,102,64
45,Tunisia,96,50
46,Yemen,316,68
47,Syria,406,24
