,Year,Gross domestic product in billion international dollars
0,2021*,210.53
1,2020*,194.92
2,2019,208.74
3,2018,200.79
4,2017,190.0
5,2016,179.71
6,2015,170.75
7,2014,162.37
8,2013,154.52
9,2012,148.58
10,2011,142.19
11,2010,136.68
12,2009,132.41
13,2008,130.97
14,2007,128.99
15,2006,120.84
16,2005,114.15
17,2004,107.94
18,2003,100.65
19,2002,94.49
20,2001,88.49
21,2000,84.73
22,1999,79.6
23,1998,75.11
24,1997,73.72
25,1996,70.34
26,1995,66.6
27,1994,62.52
28,1993,57.39
29,1992,53.45
30,1991,51.81
31,1990,51.22
32,1989,48.86
33,1988,46.32
34,1987,44.49
35,1986,42.39
36,1985,40.81
37,1984,39.09
