,Month,Units sold
0,Dec 19,1740
1,Nov 19,1899
2,Oct 19,1618
3,Sep 19,1792
4,Aug 19,646
5,Jul 19,777
6,Jun 19,1054
7,May 19,1599
8,Apr 19,1717
9,Mar 19,1630
10,Feb 19,204
11,Jan 19,581
12,Dec 18,1211
13,Nov 18,264
14,Oct 18,329
15,Sep 18,654
16,Aug 18,347
17,Jul 18,758
18,Jun 18,1163
19,May 18,1991
20,Apr 18,1646
21,Mar 18,2659
22,Feb 18,421
23,Jan 18,994
24,Dec 17,1036
25,Nov 17,1151
26,Oct 17,931
27,Sep 17,2034
28,Aug 17,294
29,Jul 17,1048
30,Jun 17,1302
31,May 17,1278
32,Apr 17,1240
33,Mar 17,2848
34,Feb 17,202
35,Jan 17,687
36,Dec 16,1264
37,Nov 16,1105
38,Oct 16,929
39,Sep 16,2152
40,Aug 16,299
41,Jul 16,636
