,Month,Number of players in thousands
0,Jan '20,817.23
1,Dec '19,767.06
2,Nov '19,758.41
3,Oct '19,747.94
4,Sept '19,720.05
5,Aug '19,647.46
6,Jul' 19,578.93
7,Jun '19,587.72
8,May '19,588.45
9,Apr '19,621.61
10,Mar '19,680.07
11,Feb '19,654.07
12,Jan '19,684.51
13,Dec '18,746.55
14,Nov '18,546.03
15,Oct '18,565.97
16,Sept '18,583.03
17,Aug '18,454.37
18,Jul '18,426.01
19,Jun '18,420.26
20,May '18,454.48
21,Aprl '18,523.26
22,Mar '18,672.5
23,Feb '18,686.59
24,Jan '18,715.85
25,Dec '17,598.41
26,Nov '17,601.88
27,Oct '17,639.97
28,Sept '17,665.37
29,Aug '17,595.78
30,Jul '17,624.79
31,Jun '17,614.62
32,May '17,692.97
33,Apr '17,709.84
34,Mar '17,742.36
35,Feb '17,744.47
36,Jan '17,814.62
37,Dec '16,662.46
38,Nov '16,627.12
39,Oct '16,661.99
40,Sept '16,638.36
41,Aug '16,599.1
42,Jul '16,636.06
43,Jun '16,579.11
44,May '16,668.61
45,Apr '16,850.49
46,Mar '16,737.6
47,Feb '16,738.97
48,Jan '16,667.43
