,manager,Yearly earnings in million euros
0,Joachim Löw (Germany),3.85
1,Tite (Brazil),3.5
2,Didier Deschamps (France),3.5
3,Julen Lopetegui (Spain,3.0
4,Stanislav Cherchesov (Russia),2.6
5,Fernando Santos (Portugal),2.25
6,Carlos Queiroz (Iran),2.0
7,Gareth Southgate (England),2.0
8,Jorge Sampaoli (Argentina),1.8
9,Óscar Tabárez (Uruguay),1.7
10,Héctor Cúper (Egypt),1.5
11,José Pékerman (Colombia),1.5
12,Juan Antonio Pizzi (Saudi Arabia),1.44
13,Bert van Marwijk (Australia),1.25
14,Ricardo Gareca (Peru),1.15
15,Juan Carlos Osorio (Mexico),1.05
16,Åge Hareide (Denmark),1.0
17,Vahid Halilhodžić (Japan),1.0
18,Roberto Martinez (Belgium),1.0
19,Vladimir Petković (Switzerland),0.85
20,Hervé Renard (Morocco),0.78
21,Heimir Hallgrímsson (Iceland),0.7
22,Zlatko Dalić (Croatia),0.55
23,Gernot Rohr (Nigeria),0.5
24,Janne Andersson (Sweden),0.45
25,Shin Tae-yong (South Korea),0.45
26,Hernán Darío Gómez (Panama),0.4
27,Óscar Ramírez (Costa Rica),0.35
28,Nabil Maâloul (Tunisia),0.35
29,Mladen Krstajić (Serbia),0.3
30,Adam Nawałka (Poland),0.27
31,Aliou Cissé (Senegal),0.2
