,Year,Number of recoveries
0,18 May*,150376
1,17 May,149576
2,16 May,146446
3,15 May,144783
4,14 May,143374
5,13 May,140823
6,12 May,138930
7,11 May,137139
8,10 May,136166
9,9 May,133952
10,8 May,131148
11,7 May,128511
12,6 May,126002
13,5 May,123486
14,4 May,121343
15,3 May,118902
16,2 May,117248
17,1 May,114897
18,30 Apr,112050
19,29 Apr,108947
20,28 Apr,102548
21,27 Apr,100875
22,26 Apr,98732
23,25 Apr,95708
24,24 Apr,92355
25,23 Apr,89250
26,22 Apr,85915
27,21 Apr,82514
28,20 Apr,80587
29,19 Apr,77357
30,18 Apr,74662
31,17 Apr,72963
32,16 Apr,74797
33,15 Apr,70853
34,14 Apr,67504
35,13 Apr,64727
36,12 Apr,62391
37,11 Apr,59109
38,10 Apr,55668
39,9 Apr,52165
40,8 Apr,48021
41,7 Apr,43208
42,6 Apr,40437
43,5 Apr,38080
44,4 Apr,34219
45,3 Apr,30513
46,2 Apr,26743
47,1 Apr,22647
48,31 Mar,19259
49,30 Mar,16780
50,29 Mar,14709
51,28 Mar,12285
52,27 Mar,9357
53,26 Mar,7015
54,25 Mar,5367
55,24 Mar,3794
56,23 Mar,3355
57,22 Mar,2575
58,21 Mar,2125
59,20 Mar,1588
60,19 Mar,1107
61,18 Mar,1081
62,17 Mar,1028
63,16 Mar,530
64,15 Mar,517
65,14 Mar,517
66,13 Mar,193
67,12 Mar,189
68,11 Mar,183
69,10 Mar,135
70,9 Mar,23
