,Year,Inflation rate compared to previous year
0,2025*,2%
1,2024*,1.5%
2,2023*,1.3%
3,2022*,1.1%
4,2021*,0.9%
5,2020*,0.5%
6,2019,0.38%
7,2018,1.48%
8,2017,1.94%
9,2016,0.97%
10,2015,0.71%
11,2014,1.28%
12,2013,1.3%
13,2012,2.19%
14,2011,4.03%
15,2010,2.94%
16,2009,2.76%
17,2008,4.67%
18,2007,2.54%
19,2006,2.24%
20,2005,2.75%
21,2004,3.59%
22,2003,3.52%
23,2002,2.76%
24,2001,4.07%
25,2000,2.26%
26,1999,0.81%
27,1998,7.51%
28,1997,4.44%
29,1996,4.93%
30,1995,4.48%
31,1994,6.27%
32,1993,4.8%
33,1992,6.21%
34,1991,9.33%
35,1990,8.57%
36,1989,5.7%
37,1988,7.15%
38,1987,3.05%
39,1986,2.75%
40,1985,2.46%
