,Exports to,Export value in TIV in million constant (1990) U.S. dollars
0,Saudi Arabia,3138
1,Australia,1215
2,Japan,870
3,South Korea,829
4,India,641
5,Qatar,531
6,Netherlands,488
7,Israel,482
8,United Arab Emirates,383
9,Afghanistan,377
10,Norway,333
11,United Kingdom,185
12,Italy,173
13,Poland,130
14,Turkey,128
15,Greece,79
16,NATO,70
17,Lebanon,60
18,Canada,58
19,France,56
20,Taiwan,51
21,Egypt,48
22,Singapore,46
23,Spain,40
24,Brazil,39
25,Slovakia,36
26,Portugal,29
27,Morocco,26
28,Jordan,25
29,Latvia,22
30,Thailand,17
31,Finland,16
32,Tunisia,15
33,Germany,13
34,Argentina,11
35,Philippines,11
36,Colombia,10
37,Bahrain,10
38,Djibouti,8
39,Kuwait,7
40,Zambia,6
41,Albania,5
42,Kenya,4
43,Cameroon,4
44,Romania,4
45,Georgia,4
46,Jamaica,3
47,Pakistan,3
48,Nepal,3
49,Botswana,2
50,Uzbekistan,2
51,Indonesia,2
52,Estonia,2
53,Niger,1
54,Libya GNC,1
55,Austria,1
56,Czechia,0
