,State,"Rate per 100,000 inhabitants"
0,District of Columbia,23.5
1,Louisiana,11.7
2,Mississippi,11.2
3,Alaska,9.4
4,Missouri,9.3
5,Maryland,9.0
6,South Carolina,9.0
7,New Mexico,8.6
8,Arkansas,8.0
9,Alabama,7.3
10,Tennessee,7.3
11,Oklahoma,6.7
12,Illinois,6.6
13,Georgia,6.2
14,North Carolina,6.0
15,Michigan,5.6
16,Indiana,5.6
17,Pennsylvania,5.2
18,Florida,5.2
19,Virginia,5.0
20,United States,5.0
21,Arizona,5.0
22,Delaware,4.9
23,Kentucky,4.9
24,Texas,4.9
25,Nevada,4.6
26,Ohio,4.6
27,West Virginia,4.4
28,California,4.3
29,Colorado,3.8
30,Kansas,3.6
31,Hawaii,3.4
32,North Dakota,3.1
33,Wisconsin,3.0
34,New York,2.9
35,Connecticut,2.9
36,New Jersey,2.9
37,Oregon,2.8
38,Washington,2.6
39,Montana,2.5
40,Rhode Island,2.4
41,New Hampshire,2.4
42,Nebraska,2.3
43,Massachusetts,2.2
44,Utah,2.2
45,Wyoming,2.2
46,Minnesota,2.1
47,Idaho,2.0
48,Iowa,1.9
49,South Dakota,1.9
50,Vermont,1.8
51,Maine,1.5
