,Year,GDP per capita in U.S. dollars
0,2025*,733.91
1,2024*,706.34
2,2023*,680.19
3,2022*,655.46
4,2021*,632.41
5,2020*,585.16
6,2019*,566.73
7,2018*,580.85
8,2017*,557.86
9,2016*,655.42
10,2015*,603.19
11,2014*,466.62
12,2013*,643.77
13,2012 *,573.16
14,2011 *,500.09
15,2010 *,415.54
16,2009*,373.46
17,2008 *,284.7
18,2007 *,278.99
19,2006,263.27
20,2005,245.36
21,2004,254.74
22,2003,205.69
23,2002,177.5
24,2001,188.67
25,2000,182.65
26,1999,208.74
27,1998,219.76
28,1997,214.17
29,1996,213.48
30,1995,180.68
