,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",98.03
1,Professional and business services,68.01
2,Government and government enterprises,59.52
3,Manufacturing,56.8
4,Information,51.54
5,Wholesale trade,41.91
6,"Educational services, health care, and social assistance",41.09
7,Retail trade,31.01
8,Transportation and warehousing,21.81
9,Construction,19.31
10,"Arts, entertainment, recreation, accommodation, and food services",16.19
11,Utilities,9.56
12,"Agriculture, forestry, fishing, and hunting",5.32
13,"Mining, quarrying, and oil and gas extraction",1.48
