,Year,Inflation rate compared to previous year
0,2025*,2.5%
1,2024*,2.5%
2,2023*,2.5%
3,2022*,2.5%
4,2021*,3%
5,2020*,3%
6,2019,2.02%
7,2018,4.78%
8,2017,2.65%
9,2016,2.09%
10,2015,-0.14%
11,2014,4.51%
12,2013,0.48%
13,2012,2.68%
14,2011,1.26%
15,2010,1.45%
16,2009,1.89%
17,2008,5.26%
18,2007,-1.02%
19,2006,-1.41%
20,2005,1.17%
21,2004,0.41%
22,2003,2.11%
23,2002,0.16%
24,2001,2.14%
25,2000,0.5%
26,1999,-1.94%
27,1998,1.45%
28,1997,3.97%
29,1996,0.69%
30,1995,9.65%
31,1994,36.12%
32,1993,0.53%
33,1992,-9.54%
34,1991,-9.83%
35,1990,15.37%
36,1989,6.9%
37,1988,-9.8%
38,1987,-1%
39,1986,6.4%
40,1985,7.3%
