,president,Height in centimeters (cm)
0,Abraham Lincoln,193
1,Lyndon B. Johnson,192
2,Donald Trump *,191
3,Thomas Jefferson,189
4,Chester A. Arthur,188
5,Bill Clinton,188
6,George Washington,188
7,Franklin D. Roosevelt,188
8,George H. W. Bush,188
9,Andrew Jackson,185
10,Ronald Raegan,185
11,John F Kennedy,185
12,Barack Obama,185
13,James Monroe,183
14,John Tyler,183
15,Gerald Ford,183
16,Warren G. Harding,183
17,James Buchanan,183
18,James A. Garfield,183
19,Joe Biden**,182
20,George W. Bush,182
21,William Howard Taft,182
22,Herbert Hoover,182
23,Richard Nixon,182
24,Woodrow Wilson,180
25,Grover Cleveland,180
26,Presidential average,180
27,Dwight D. Eisenhower,179
28,Calvin Coolidge,178
29,Franklin Pierce,178
30,Andrew Johnson,178
31,Theodore Roosevelt,178
32,Jimmy Carter,177
33,US male average height,175
34,Harry S. Truman,175
35,Millard Fillmore,175
36,Rutherford B. Hayes,174
37,Zachary Taylor,173
38,William Henry Harrison,173
39,Ulysses S. Grant *,173
40,James K. Polk,173
41,John Quincy Adams,171
42,William McKinley,170
43,John Adams,170
44,Benjamin Harrison,168
45,Martin Van Buren,168
46,James Madison,163
