,province of China,CPI (the same month last year = 100)
0,Tibet,100.9%
1,Qinghai,100.5%
2,Yunnan,100.4%
3,Gansu,100.3%
4,Beijing,100.2%
5,Xinjiang,100.2%
6,Shanxi,100.1%
7,Zhejiang,100.1%
8,Ningxia,100%
9,Shaanxi,99.9%
10,Inner Mongolia,99.9%
11,Jiangxi,99.9%
12,Shanghai,99.9%
13,Liaoning,99.8%
14,Tianjin,99.6%
15,Henan,99.6%
16,Jiangsu,99.6%
17,Guangxi,99.5%
18,National average,99.5%
19,Heilongjiang,99.5%
20,Anhui,99.4%
21,Chongqing,99.4%
22,Fujian,99.2%
23,Sichuan,99.2%
24,Jilin,99.2%
25,Guangdong,99.1%
26,Guizhou,99.1%
27,Hebei,99.1%
28,Hunan,99%
29,Shandong,99%
30,Hubei,98.9%
31,Hainan,98.1%
