,Car Manufacturer,2017,2018
0,General Motors,2986737,2934742
1,Ford Motor Company,2575200,2490175
2,Toyota Motor Sales U.S.A.,2433749,2426646
3,FCA,2073147,2238307
4,Nissan North America,1697150,1611951
5,Honda,1639352,1604561
6,Hyundai Kia Auto Group,1275222,1278740
7,Subaru of America,647956,680135
8,Volkswagen Group of America*,620772,634509
9,BMW of North America,352787,354698
10,Daimler,375311,350360
11,Mazda Motor of America,289469,300325
12,Tesla Motors,50067,197517
13,Jaguar Land Rover N. A.,114212,122397
14,Volvo Cars North America,81434,98786
