,Sponsorship deals,Sponsorship deals (in millions)
0,"MegaF on, Russia",260.0
1,"Rostelecom, Russia",260.0
2,"Aeroflot, Russia",180.0
3,"Rosneft, Russia",180.0
4,"Mercedes, China",150.0
5,"Barclays, UK",134.5
6,"Standard Chartered Bank, UK",133.36
7,"Aon, International",132.0
8,"Visa, International",130.0
9,"UniCredit, International",119.0
10,"Deutsche Telekom, Germany",112.0
11,"adidas, International",105.0
12,"Panasonic, International",105.0
13,"Volkswagen, Russia",100.0
14,"Staples, USA",100.0
15,"Omega, International",80.0
16,"Groupama, France",74.5
17,"Gilette, USA",72.0
18,"adidas, France",70.0
19,"Anta, China",70.0
