,Building (city),Height in meters
0,One World Trade Center(New York City),541
1,Willis Tower(Chicago),442
2,432 Park Avenue(New York City),426
3,Trump International Hotel & Tower(Chicago),423
4,30 Hudson Yards,395
5,Empire State Building(New York City),381
6,Bank of America Tower(New York City),366
7,Aon Center(Chicago),346
8,875 North Michigan Avenue(Chicago),344
9,Comcast Innovation & Technology Center(Philadelphia),342
10,Wilshire Grand Center(Los Angeles),335
11,Three World Trade Center(New York City),329
12,Salesforce Tower(San Francisco),326
13,53W53(New York City),320
14,Chrysler Building(New York City),319
15,New York Times Tower(New York City),319
