,university and country,Times Higher Education score
0,University of Oxford (UK),95.6
1,University of Cambridge (UK),94.0
2,Imperial College London (UK),89.4
3,ETH Zürich – Swiss Federal Institute of Technology Zürich (CH),87.9
4,University College London (UK),86.9
5,London School of Economics and Political Science (UK),81.4
6,University of Edinburgh (UK),79.4
7,Ludwig-Maximilians-Universität München (GE),78.2
8,King's College London (UK),76.1
9,Karolinska Institute (SE),76.0
10,Technical University of Munich (GE),74.8
11,Heidelberg University (GE),74.3
12,École Polytechnique Fédérale de Lausanne (CH),74.1
13,KU Leuven (BE),73.7
14,Paris Sciences et Lettres – PSL Research University,73.6
15,University of Manchester (UK),70.9
16,Wageningen University and Research Center (NE),69.4
17,University of Amsterdam (NE),68.8
18,Leiden University (NE),66.7
19,Erasmus University Rotterdam (NE),66.2
