,State,Volume of trade goods in million U.S. dollars
0,Texas,301259.9
1,California,159293.3
2,New York,67620.5
3,Louisiana,57780.2
4,Illinois,55429.6
5,Washington,54129.4
6,Florida,51329.4
7,Michigan,51219.3
8,Ohio,48648.6
9,Pennsylvania,39277.4
10,South Carolina,38160.8
11,Georgia,37705.0
12,Indiana,36595.1
13,New Jersey,33302.1
14,North Carolina,31737.6
15,Kentucky,30309.5
16,Tennessee,28735.7
17,Massachusetts,24090.6
18,Arizona,22686.7
19,Oregon,21567.1
20,Minnesota,20419.2
21,Wisconsin,19996.5
22,Alabama,18897.1
23,Virginia,16508.7
24,Utah,15792.8
25,Connecticut,14813.6
26,Missouri,12329.0
27,Iowa,12082.9
28,Maryland,11879.9
29,Mississippi,10927.5
30,Kansas,10662.9
31,Nevada,8224.1
32,Colorado,7447.8
33,Nebraska,6890.4
34,North Dakota,6149.9
35,Oklahoma,5653.6
36,Arkansas,5578.8
37,West Virginia,5463.5
38,New Hampshire,5308.3
39,Alaska,4748.1
40,New Mexico,4461.7
41,Delaware,4016.2
42,District of Columbia,3598.7
43,Idaho,3202.5
44,Vermont,2778.2
45,Maine,2513.2
46,Rhode Island,2491.3
47,Montana,1549.5
48,South Dakota,1233.9
49,Wyoming,1214.4
50,Hawaii,426.5
