,Country,UK Customer Satisfaction Index (UKCSI)**
0,John Lewis,87.7
1,Amazon,87.6
2,First Direct,86.3
3,Tesco Mobile,85.8
4,Marks & Spencer (Food),85.6
5,Waitrose,85.0
6,Specsavers,84.4
7,Aldi,84.2
8,Next,84.0
9,Nationwide,83.5
10,The Co-operative Bank,83.5
11,Pret A Manger,83.4
12,Center Parcs,83.3
13,Argos,83.0
14,LV=,83.0
15,Boots,82.9
16,Toby Carvery,82.8
17,Skoda,82.7
18,Tesco Bank,82.7
19,Mercedes Benz,82.6
20,Greggs/Baker's Oven,82.5
21,Honda,82.5
22,Iceland,82.1
23,P&O Cruises,82.0
24,Premier Inn,82.0
