,Year,Inflation rate compared to previous year
0,2020*,17%
1,2019,2.9%
2,2018,4.55%
3,2017,4.48%
4,2016,-0.82%
5,2015,-3.7%
6,2014,1.8%
7,2013,4.82%
8,2012,6.58%
9,2011,4.97%
10,2010,3.98%
11,2009,0.79%
12,2008,10.7%
13,2007,4.06%
14,2006,4.09%
15,2005,-1.43%
16,2004,1.67%
17,2003,1.27%
18,2002,1.76%
19,2001,-0.37%
20,2000,-0.36%
21,1999,0.24%
22,1998,4.55%
23,1997,7.75%
24,1996,8.88%
25,1995,10.28%
26,1994,8.24%
27,1993,24.74%
28,1992,99.85%
29,1991,50.12%
30,1990,68.9%
31,1989,72.2%
32,1988,155%
33,1987,487.2%
34,1986,95.4%
35,1985,69.4%
36,1984,17.6%
