,Company (Country of origin),Billion U.S. dollars
0,Schwarz Unternehmenstreuhand KG (Germany),121.58
1,Aldi Einkauf GmbH & Co. oHG (Germany)*,106.18
2,Carrefour S.A. (France)***,84.13
3,Tesco PLC (UK),82.8
4,Ahold Delhaize (Netherlands)****,74.08
5,Edeka Group (Germany)**,62.05
6,Auchan Holding SA (France),59.3
7,Rewe Group (Germany)**,56.44
8,Centres Distributeurs E. Leclerc (France)* **,44.48
9,Casino Guichard-Perrachon S.A. (France),43.18
10,The IKEA Group (INGKA Holding B.V.) (Netherlands),41.47
11,LVMH Moët Hennessy-Louis Vuitton S.A. (France),37.85
12,J Sainsbury plc (UK),37.52
13,ITM Developpement International (Intermarche; France)* **,36.63
14,"Inditex, S.A. (Spain)**",30.67
15,Metro AG (Germany)*,28.72
16,"Mercadona, SA (Spain)",26.26
17,Ceconomy AG (Germany),25.48
18,Migros-Genossenschafts Bund (Switzerland)* **,25.13
19,X5 Retail Group N.V.,24.39
