,Country,Share of total goods exported
0,United States,15.7%
1,Germany,10.4%
2,Netherlands,7.6%
3,France,7%
4,Ireland,6.3%
5,China,5.3%
6,Belgium,4.1%
7,Italy,3.1%
8,Spain,3%
9,Hong Kong,2.4%
10,Switzerland,2.1%
11,Japan,2%
12,United Arab Emirates,2%
13,South Korea,1.8%
14,Canada,1.7%
15,Sweden,1.6%
16,India,1.6%
17,Turkey,1.5%
18,Poland,1.5%
19,Singapore,1.4%
20,Australia,1.4%
21,Saudi Arabia,1.1%
22,Norway,1%
23,Denmark,0.8%
24,Russia,0.8%
25,Qatar,0.7%
26,South Africa,0.6%
27,Brazil,0.6%
28,Czechia,0.6%
29,Austria,0.5%
30,Nigeria,0.5%
31,Mexico,0.5%
32,Thailand,0.4%
33,Portugal,0.4%
34,Hungary,0.4%
35,Taiwan,0.4%
36,Malaysia,0.4%
37,Finland,0.4%
38,Egypt,0.3%
39,Romania,0.3%
40,Israel,0.3%
41,Greece,0.3%
42,Oman,0.3%
43,North Macedonia,0.3%
44,New Zealand,0.2%
45,Pakistan,0.2%
46,Indonesia,0.2%
47,Morocco,0.2%
48,Vietnam,0.2%
49,Chile,0.2%
