,Year,Gross domestic product in billion international dollars
0,2021*,98.55
1,2020*,93.26
2,2019*,96.26
3,2018,92.74
4,2017,88.81
5,2016,85.36
6,2015,82.78
7,2014,79.86
8,2013,75.84
9,2012,72.82
10,2011,69.96
11,2010,66.67
12,2009,64.2
13,2008,60.99
14,2007,55.79
15,2006,50.23
16,2005,45.34
17,2004,40.89
18,2003,36.88
19,2002,34.82
20,2001,32.25
21,2000,30.14
22,1999,28.27
23,1998,27.19
24,1997,26.14
25,1996,24.7
26,1995,23.95
27,1994,21.99
28,1993,20.54
29,1992,19.54
30,1991,16.87
31,1990,15.93
32,1989,15.17
33,1988,16.31
34,1987,15.41
35,1986,14.62
36,1985,13.56
37,1984,13.26
