,Year,GDP per capita in U.S. dollars
0,2025*,6611.12
1,2024*,6093.03
2,2023*,5604.05
3,2022*,5144.23
4,2021*,4714.28
5,2020*,4405.27
6,2019*,4765.09
7,2018*,4718.79
8,2017*,4358.59
9,2016*,4060.89
10,2015,4017.62
11,2014,4441.77
12,2013,4340.71
13,2012,4237.93
14,2011,3825.16
15,2010,3062.85
16,2009,2811.93
17,2008,3325.49
18,2007,2626.83
19,2006,1992.09
20,2005,1636.7
21,2004,1301.72
22,2003,1006.46
23,2002,850.8
24,2001,797.11
25,2000,742.66
26,1999,668.27
27,1998,840.86
28,1997,796.05
29,1996,669.84
30,1995,402.2
