,Response,Share of respondents
0,Lega Nord (Right-wing),31.5%
1,Movimento 5 Stelle (Big tent),21.3%
2,Partito Democratico (Centre-left),20.5%
3,Forza Italia (Centre-right),8.2%
4,Fratelli d'Italia (Right-wing),4.5%
5,Più Europa (Centre-left),4.1%
6,"Other left-wing parties (Verdi, Possibile, MDP etc.)",2.9%
7,Coalizione Civica di De Magistris (Left-wing),1.4%
8,Potere al Popolo (Left-wing),1.4%
9,Other centre-right-wing parties,1.3%
10,Casapound (Far-right),0.7%
11,Il Popolo della Famiglia (Right-wing),0.3%
12,Others,1.9%
