,Public-order offenses,Number of arrests
0,Other sex offenses*,1443
1,Traffic offenses,1329
2,Tax law violations,963
3,Escape,466
4,Obstruction of justice,439
5,All other offenses,312
6,Bribery,205
7,"Perjury, contempt, and intimidation",173
8,Racketeering and extortion,171
9,Other regulatory offenses,138
10,Environmental,133
11,Wildlife,122
12,Food and drug,119
13,Gambling,115
14,Child support recovery,92
15,Civil rights,67
16,"Conspiracy, aiding and abetting, and jurisdictional offenses",59
17,National defense,10
18,Antitrust,7
