,Year,Number of terrorist attacks
0,2019,64
1,2018,60
2,2017,122
3,2016,105
4,2015,114
5,2014,103
6,2013,137
7,2012,55
8,2011,47
9,2010,57
10,2009,23
11,2008,39
12,2007,20
13,2006,6
14,2005,29
15,2004,5
16,2003,23
17,2002,21
18,2001,94
19,2000,61
20,1999,76
21,1998,63
22,1997,78
23,1996,36
24,1995,22
25,1994,256
26,1992,274
27,1991,262
28,1990,147
29,1989,163
30,1988,181
31,1987,117
32,1986,95
33,1985,67
34,1984,145
35,1983,177
36,1982,95
37,1981,142
38,1980,134
39,1979,239
40,1978,100
41,1977,140
42,1976,194
43,1975,194
44,1974,203
45,1973,189
46,1972,292
47,1971,81
48,1970,12
