,Month,Market share
0,August 2020,0.33%
1,July 2020,0.48%
2,June 2020,0.51%
3,May 2020,0.5%
4,April 2020,0.56%
5,March 2020,0.48%
6,February 2020,0.51%
7,January 2020,0.6%
8,December 2019,0.58%
9,November 2019,0.58%
10,October 2019,1.9%
11,September 2019,0.84%
12,August 2019,0.96%
13,July 2019,0.89%
14,June 2019,1.11%
15,May 2019,1.32%
16,April 2019,1.51%
17,March 2019,1.62%
18,February 2019,2%
19,January 2019,3.5%
20,December 2018,3.56%
21,November 2018,3.3%
22,October 2018,2.03%
23,September 2018,1.91%
24,August 2018,1.66%
25,July 2018,1.41%
26,June 2018,1.68%
27,May 2018,1.49%
28,April 2018,1.88%
29,March 2018,1.56%
30,February 2018,1.25%
31,January 2018,1.32%
32,December 2017,1.6%
33,November 2017,1.79%
34,October 2017,2.27%
35,September 2017,2.57%
