,Country,Number of outlets
0,Subway,247
1,Coffee Republic,123
2,Costa,118
3,Cafe Nero,62
4,Muffin Break,60
5,Greggs,48
6,Stephens,32
7,Pret A Manger,29
8,Patisserie Holdings,23
9,Krispy Kreme,11
10,Coffee #1,10
11,Sayers the Bakers,5
12,EAT,5
13,West Cornwall Pasty Co,4
14,Stuart's of Buckhaven,4
15,Aulds,3
16,Bayne's,1
17,Percy Ingle,0
18,Birds the Confectioners,0
19,Warren's Bakery,0
20,Greenhalgh's Craft Bakery,-1
21,Coopland and Son,-2
22,BP - Wild Bean cafe,-21
23,SSP UK (various brands**),-59
