,Metropolitan area,Number of deaths
0,"Toronto, Ontario",36061
1,"Montréal, Quebec",30200
2,"Vancouver, British Columbia",16230
3,"Ottawa-Gatineau, Ontario/Quebec",9516
4,"Edmonton, Alberta",8632
5,"Calgary, Alberta",7532
6,"Hamilton, Ontario",7054
7,"Winnipeg, Manitoba",6621
8,"Québec, Quebec",6342
9,"St. Catharines-Niagara, Ontario",4721
10,"London, Ontario",4285
11,"Kitchener-Cambridge-Waterloo, Ontario",3853
12,"Victoria, British Columbia",3691
13,"Halifax, Nova Scotia",3268
14,"Windsor, Ontario",2995
15,"Oshawa, Ontario",2893
16,"Saskatoon, Saskatchewan",2128
17,"Kelowna, British Columbia",2016
18,"Regina, Saskatchewan",1775
19,"Greater Sudbury, Ontario",1751
20,"Trois-Rivières, Quebec",1713
21,"St. John's, Newfoundland and Labrador",1670
22,"Sherbrooke, Quebec",1646
23,"Kingston, Ontario",1558
24,"Barrie, Ontario",1540
25,"Saguenay, Quebec",1539
26,"Abbotsford-Mission, British Columbia",1459
27,"Peterborough, Ontario",1440
28,"Brantford, Ontario",1428
29,"Thunder Bay, Ontario",1425
30,"Saint John, New Brunswick",1327
31,"Moncton, New Brunswick",1244
32,"Guelph, Ontario",1171
