,business,Number of employees worldwide
0,Volkswagen (Germany),644.5
1,Compass Group (United Kingdom),595.84
2,Deutsche Post DHL (Germany),499.02
3,Gazprom (Russia),466.1
4,Accenture (Ireland),459.0
5,Bosch Group (Germany),409.88
6,Siemans (Germany),379.0
7,Edeka Zentrale (Germany),376.0
8,Carrefour (France),363.86
9,Auchan Holding (France),340.56
10,Tesco (United Kingdom),321.49
11,Deutsche Bahn (Germany),318.53
12,Nestle (Switzerland),308.0
13,Rosneft Oil (Russia),308.0
14,Daimler (Germany),298.68
