,Half-Marathons worldwide,Number of finishers
0,"Göteborg, SWE",47403
1,"Bupa Great North Run, GBR",41564
2,"Paris, FRA",32803
3,"IAAF World Half Marathon Championships, DK",26825
4,"NYRR Brooklyn, NY",25610
5,"One America 500 Festival, IN",25524
6,"Rock 'n' Roll Las Vegas, NV",25227
7,"Nike Women's, CA",24448
8,"Vattenfall Berliner, GER",22193
9,"NYC, NY",20801
10,"Disney's Princess, FL",20770
11,"Walt Disney Florida, FL",20243
12,"St. Jude Country Music Nashville, TN",19149
13,"Medio Maraton de Madrind, ES",16977
14,"Rock 'n' Roll San Diego, CA",16890
